=== FEEDBACKS IN WARD 109 (Hòa Xuân) ===
Total feedbacks in Ward 109: 0

=== DISTRICT AND WARD OF FEEDBACKS IN SEED FILE ===
WardID: 4, WardName: Ngũ Hành Sơn, CategoryCode: ENVIRONMENT
WardID: 5, WardName: Liên Chiểu, CategoryCode: ENVIRONMENT
WardID: 1, WardName: Hải Châu, CategoryCode: PUBLIC_SECURITY
WardID: 6, WardName: Cẩm Lệ, CategoryCode: CONSTRUCTION
WardID: 3, WardName: Sơn Trà, CategoryCode: PUBLIC_SECURITY
WardID: 6, WardName: Cẩm Lệ, CategoryCode: ENVIRONMENT
WardID: 7, WardName: Hòa Vang, CategoryCode: URBAN_INFRASTRUCTURE
WardID: 1, WardName: Hải Châu, CategoryCode: ENVIRONMENT
WardID: 6, WardName: Cẩm Lệ, CategoryCode: TRAFFIC
WardID: 4, WardName: Ngũ Hành Sơn, CategoryCode: PUBLIC_SECURITY
WardID: 2, WardName: Thanh Khê, CategoryCode: CONSTRUCTION
WardID: 5, WardName: Liên Chiểu, CategoryCode: URBAN_INFRASTRUCTURE
WardID: 105, WardName: Hòa Cường, CategoryCode: TRAFFIC
WardID: 3, WardName: Sơn Trà, CategoryCode: URBAN_INFRASTRUCTURE
WardID: 2, WardName: Thanh Khê, CategoryCode: ENVIRONMENT
WardID: 1, WardName: Hải Châu, CategoryCode: URBAN_INFRASTRUCTURE
WardID: 4, WardName: Ngũ Hành Sơn, CategoryCode: URBAN_INFRASTRUCTURE
WardID: 114, WardName: Điện Bàn, CategoryCode: TRAFFIC
WardID: 1, WardName: Hải Châu, CategoryCode: CONSTRUCTION
WardID: 5, WardName: Liên Chiểu, CategoryCode: CONSTRUCTION
