WARD STAFF USERS IN DATABASE:
ID: 13, Username: WardStaff4, Name: Cán bộ Ngũ Hành Sơn, Role: WARD_STAFF, WardID: 4, Ward: Ngũ Hành Sơn
ID: 15, Username: WardStaff5, Name: Cán bộ Liên Chiểu, Role: WARD_STAFF, WardID: 5, Ward: Liên Chiểu
ID: 17, Username: WardStaff6, Name: Cán bộ Cẩm Lệ, Role: WARD_STAFF, WardID: 6, Ward: Cẩm Lệ
ID: 19, Username: WardStaff7, Name: Cán bộ Hòa Vang, Role: WARD_STAFF, WardID: 7, Ward: Hòa Vang
ID: 21, Username: WardStaff105, Name: Cán bộ Hòa Cường, Role: WARD_STAFF, WardID: 105, Ward: Hòa Cường
ID: 23, Username: WardStaff106, Name: Cán bộ An Khê, Role: WARD_STAFF, WardID: 106, Ward: An Khê
ID: 25, Username: WardStaff107, Name: Cán bộ An Hải, Role: WARD_STAFF, WardID: 107, Ward: An Hải
ID: 27, Username: WardStaff108, Name: Cán bộ Hòa Khánh, Role: WARD_STAFF, WardID: 108, Ward: Hòa Khánh
ID: 31, Username: WardStaff110, Name: Cán bộ Tam Kỳ, Role: WARD_STAFF, WardID: 110, Ward: Tam Kỳ
ID: 33, Username: WardStaff111, Name: Cán bộ Quảng Phú, Role: WARD_STAFF, WardID: 111, Ward: Quảng Phú
ID: 35, Username: WardStaff112, Name: Cán bộ Hương Trà, Role: WARD_STAFF, WardID: 112, Ward: Hương Trà
ID: 37, Username: WardStaff113, Name: Cán bộ Bàn Thạch, Role: WARD_STAFF, WardID: 113, Ward: Bàn Thạch
ID: 7, Username: WardStaff1, Name: Cán bộ Hải Châu, Role: POLICE, WardID: 1, Ward: Hải Châu
ID: 2, Username: ward_staff1, Name: Cán Bộ Phường 1, Role: POLICE, WardID: 4, Ward: Ngũ Hành Sơn
ID: 9, Username: WardStaff2, Name: Cán bộ Thanh Khê, Role: POLICE, WardID: 2, Ward: Thanh Khê
ID: 11, Username: WardStaff3, Name: Cán bộ Sơn Trà, Role: POLICE, WardID: 3, Ward: Sơn Trà
ID: 29, Username: WardStaff109, Name: Cán bộ Hòa Xuân, Role: WARD_STAFF, WardID: 109, Ward: Hòa Xuân
ID: 39, Username: WardStaff114, Name: Cán bộ Điện Bàn, Role: WARD_STAFF, WardID: 114, Ward: Điện Bàn
ID: 41, Username: WardStaff115, Name: Cán bộ Điện Bàn Đông, Role: WARD_STAFF, WardID: 115, Ward: Điện Bàn Đông
ID: 43, Username: WardStaff116, Name: Cán bộ An Thắng, Role: WARD_STAFF, WardID: 116, Ward: An Thắng
ID: 45, Username: WardStaff117, Name: Cán bộ Điện Bàn Bắc, Role: WARD_STAFF, WardID: 117, Ward: Điện Bàn Bắc
ID: 47, Username: WardStaff118, Name: Cán bộ Hội An, Role: WARD_STAFF, WardID: 118, Ward: Hội An
ID: 49, Username: WardStaff119, Name: Cán bộ Hội An Đông, Role: WARD_STAFF, WardID: 119, Ward: Hội An Đông
ID: 51, Username: WardStaff120, Name: Cán bộ Hội An Tây, Role: WARD_STAFF, WardID: 120, Ward: Hội An Tây
ID: 53, Username: WardStaff121, Name: Cán bộ Hòa Tiến, Role: WARD_STAFF, WardID: 121, Ward: Hòa Tiến
ID: 55, Username: WardStaff122, Name: Cán bộ Bà Nà, Role: WARD_STAFF, WardID: 122, Ward: Bà Nà
ID: 57, Username: WardStaff123, Name: Cán bộ Núi Thành, Role: WARD_STAFF, WardID: 123, Ward: Núi Thành
ID: 59, Username: WardStaff124, Name: Cán bộ Tam Mỹ, Role: WARD_STAFF, WardID: 124, Ward: Tam Mỹ
ID: 61, Username: WardStaff125, Name: Cán bộ Tam Anh, Role: WARD_STAFF, WardID: 125, Ward: Tam Anh
ID: 63, Username: WardStaff126, Name: Cán bộ Đức Phú, Role: WARD_STAFF, WardID: 126, Ward: Đức Phú
ID: 65, Username: WardStaff127, Name: Cán bộ Tam Xuân, Role: WARD_STAFF, WardID: 127, Ward: Tam Xuân
ID: 67, Username: WardStaff128, Name: Cán bộ Tây Hồ, Role: WARD_STAFF, WardID: 128, Ward: Tây Hồ
ID: 69, Username: WardStaff129, Name: Cán bộ Chiên Đàn, Role: WARD_STAFF, WardID: 129, Ward: Chiên Đàn
ID: 71, Username: WardStaff130, Name: Cán bộ Phú Ninh, Role: WARD_STAFF, WardID: 130, Ward: Phú Ninh
